Label,Artist,Id,Track,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Genre
Bang Bang,Jessie J,149,Bang Bang Jessie J,0.706,0.786,-3.417,0.091,0.26,0.0,0.38,0.751,150.028,199387,pop
Budapest,George Ezra,150,Budapest George Ezra,0.717,0.455,-8.303,0.0276,0.0846,0.0,0.11,0.389,127.812,200733,folk-pop
Cool Kids,Echosmith,151,Cool Kids Echosmith,0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,0.786,130.027,237627,dance pop
First Day Of My Life,Bright Eyes,152,First Day Of My Life Bright Eyes,0.596,0.253,-14.369,0.0349,0.896,5.17e-05,0.102,0.368,95.162,188878,indie folk
Geronimo,Sheppard,153,Geronimo Sheppard,0.705,0.78,-6.267,0.0805,0.456,0.00152,0.115,0.457,142.028,218228,australian indie
I'm Not The Only One,Sam Smith,154,I'm Not The Only One Sam Smith,0.677,0.485,-5.795,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,dance pop
Rude,Magic!,155,Rude Magic!,0.773,0.758,-4.993,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,reggae fusion
Shut Up and Dance,Walk the Moon,156,Shut Up and Dance Walk the Moon,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,dance pop
Take Me to Church,Hozier,157,Take Me to Church Hozier,0.566,0.664,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945,241693,irish singer-songwriter
Clarity,Zedd,158,Clarity Zedd,0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,electropop
Don't You Worry Child Radio Edit,Swedish House Mafia,159,Don't You Worry Child Radio Edit Swedish House Mafia,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,212862,dance pop
Save the World,Swedish House Mafia,160,Save the World Swedish House Mafia,0.507,0.665,-7.598,0.0474,0.0144,0.0,0.0759,0.4,126.879,213338,dance pop
Wildfire,SBTRKT,161,Wildfire SBTRKT,0.841,0.481,-7.188,0.387,0.0308,0.000515,0.0896,0.341,139.574,201000,new rave
Money On My Mind,Sam Smith,162,Money On My Mind Sam Smith,0.688,0.841,-5.217,0.179,0.204,0.000295,0.229,0.743,133.912,192670,dance pop
